id_inmueble,tipo_inmueble,direccion,ciudad,estado,fecha_adquisicion,valor_adquisicion,superficie_m2
INM-1000,Planta industrial,"Diagonal Rawson N° 844, Neuquén 8300, Neuquén",Rosario,Inactivo,2008-02-02,70.6,3351.01
INM-1001,Planta industrial,"Diagonal 6 N° 64 Piso 5 Dto. 4, La Rioja 5300, La Rioja",Rosario,Operativo,2015-03-08,43.99,3492.87
INM-1002,Planta industrial,"Avenida Salta N° 7574, San Salvador de Jujuy 4600, Jujuy",Córdoba,Inactivo,2005-10-16,11.48,1047.1
INM-1003,Depósito,"Calle 1 N° 155, Mar del Plata 7600, Buenos Aires",Mendoza,Mantenimiento,2013-07-03,55.61,2411.24
INM-1004,Edificio,"Calle 6 N° 3987, San Ferando del Valle de Catamarca 4700, Catamarca",Gran Buenos Aires,Arrendado,2019-12-06,61.18,1120.51
INM-1005,Galpón,"Calle Mitre N° 287 Torre 3 Dto. 9, Mendoza 5500, Mendoza",Mendoza,Operativo,2018-09-28,17.51,4134.62
INM-1006,Edificio,"Blv. Belgrano N° 7425, San Ferando del Valle de Catamarca 4700, Catamarca",Neuquén,Disponible,2001-11-22,40.83,3933.31
INM-1007,Planta industrial,"Diag. Mar del Plata N° 582 Torre 8 Dto. 1, Posadas 3300, Misiones",Mendoza,Operativo,2005-03-23,111.93,2150.33
INM-1008,Centro logístico,"Blv. Resistencia N° 78 Oficina 6, Bahía Blanca 8000, Buenos Aires",Gran Buenos Aires,Arrendado,2015-08-10,52.48,207.14
INM-1009,Edificio,"Av. San Juan N° 350, La Plata 1900, Buenos Aires",CABA,Operativo,2008-06-20,123.09,4929.55
INM-1010,Galpón,"Avenida Santiago del Estero N° 62 Local 7, Formosa 3600, Formosa",Gran Buenos Aires,Operativo,2009-01-11,114.78,2082.91
INM-1011,Edificio,"Av. 6 N° 544 Dto. 6, La Rioja 5300, La Rioja",Neuquén,Arrendado,2020-10-22,25.78,4234.89
INM-1012,Local comercial,"Blv. 8 N° 590 Local 5, Rawson 9103, Chubut",Salta,Disponible,2016-11-10,103.97,3448.94
INM-1013,Oficina,"Diagonal Malvinas Argentinas N° 821, La Plata 1900, Buenos Aires",CABA,Operativo,2001-05-05,86.78,2717.53
INM-1014,Centro logístico,"Diagonal San Ferando del Valle de Catamarca N° 256, Santiago del Estero 4200, Santiago del Estero",Salta,Disponible,2000-09-01,101.7,3088.37
INM-1015,Centro logístico,"Diagonal 122 Bis N° 498 Dto. 9, Formosa 3600, Formosa",Salta,Arrendado,2003-09-03,103.18,4629.61
INM-1016,Planta industrial,"Boulevard La Pampa N° 8832 Oficina 9, Rawson 9103, Chubut",Neuquén,Inactivo,2003-01-17,82.55,4878.0
INM-1017,Terreno,"Calle Santiago del Estero N° 515 Local 26, La Plata 1900, Buenos Aires",CABA,Inactivo,2005-12-06,132.79,1754.03
INM-1018,Depósito,"Avenida Mendoza N° 4773, Merlo 5881, San Luis",CABA,Arrendado,2003-12-31,103.69,1816.84
INM-1019,Oficina,"Diagonal Rivadavia N° 450, Resistencia 3500, Chaco",Gran Buenos Aires,Operativo,2012-08-11,123.85,544.08
INM-1020,Terreno,"Boulevard J.M. de Rosas N° 148, La Plata 1900, Buenos Aires",Córdoba,Operativo,2015-12-20,64.32,2669.51
INM-1021,Edificio,"Blv. Santiago del Estero N° 1045, Mar del Plata 7600, Buenos Aires",Gran Buenos Aires,Operativo,2000-07-31,98.34,4449.12
INM-1022,Oficina,"Diagonal Merlo N° 644 Local 7, San Ferando del Valle de Catamarca 4700, Catamarca",CABA,Arrendado,2016-04-05,128.65,2348.22
INM-1023,Oficina,"Avenida Ushuaia N° 9020, Corrientes 3400, Corrientes",Salta,Operativo,2016-12-02,118.84,2409.15
INM-1024,Planta industrial,"Boulevard 4 N° 7721, Constitución 1004, Ciudad Autónoma de Buenos Aires",Rosario,Arrendado,2014-10-24,47.99,190.76
INM-1025,Terreno,"Avenida San Salvador de Jujuy N° 29, Chilecito 5360, La Rioja",Córdoba,Operativo,2018-07-23,55.29,2075.88
INM-1026,Oficina,"Calle Alvear N° 3150 Oficina 96, Santiago del Estero 4200, Santiago del Estero",Neuquén,Operativo,2019-05-21,10.88,825.82
INM-1027,Depósito,"Diagonal Catamarca N° 19 Oficina 38, Resistencia 3500, Chaco",Gran Buenos Aires,Operativo,2004-11-02,56.12,2292.18
INM-1028,Planta industrial,"Calle Saavedra N° 78, Chilecito 5360, La Rioja",Neuquén,Arrendado,2018-10-02,123.66,2614.48
INM-1029,Planta industrial,"Calle La Pampa N° 54 Torre 2 Dto. 5, Resistencia 3500, Chaco",Gran Buenos Aires,Operativo,2022-01-09,83.86,1571.01
